Date,Open,High,Low,Close,DXY_Change,Open,High,Low,Close,USDJPY_Change
24/11/2019,98.269997,98.540001,98.169998,98.269997,0.00,108.622002,109.662003,108.622002,109.445,0.758
01/12/2019,98.269997,98.379997,97.360001,97.699997,-0.58,109.449997,109.720001,108.43,108.574997,-0.799
08/12/2019,97.68,97.720001,96.720001,97.169998,-0.52,108.574997,109.695999,108.428001,109.309998,0.677
15/12/2019,97.18,97.760002,96.93,97.709999,0.55,109.309998,109.669998,109.214996,109.419998,0.101
22/12/2019,97.669998,97.82,96.919998,96.919998,-0.77,109.419998,109.781998,109.309998,109.480003,0.055
29/12/2019,97,97.110001,96.360001,96.839996,-0.16,109.480003,111.410004,107.915001,108.019997,-1.334
05/01/2020,96.900002,97.580002,96.540001,97.360001,0.47,108.019997,109.675003,107.656998,109.432999,1.308
12/01/2020,97.349998,97.660004,97.089996,97.610001,0.27,109.473,110.275002,109.473,110.086998,0.561
19/01/2020,97.639999,97.949997,97.389999,97.849998,0.22,110.086998,110.218002,109.268997,109.279999,-0.733
26/01/2020,97.879997,98.190002,97.360001,97.389999,-0.50,109.279999,109.279999,108.32,108.32,-0.878
02/02/2020,97.370003,98.709999,97.370003,98.68,1.35,108.32,109.980003,108.32,109.697998,1.272
09/02/2020,98.699997,99.160004,98.599998,99.120003,0.43,109.697998,110.121002,109.611,109.782997,0.077
16/02/2020,99.190002,99.910004,99.139999,99.260002,0.07,109.782997,112.185997,109.655998,111.550003,1.610
23/02/2020,99.339996,99.639999,97.959999,98.129997,-1.22,111.550003,111.656998,107.778,108.136002,-3.061
01/03/2020,98.080002,98.089996,95.709999,95.949997,-2.17,108.136002,108.557999,104.996002,105.300003,-2.623
08/03/2020,95.790001,98.809998,94.650002,98.75,3.09,105.309998,107.93,101.282997,107.93,2.488
15/03/2020,98.470001,102.989998,97.449997,102.82,4.42,107.93,111.336998,105.147003,110.990997,2.836
22/03/2020,101.949997,102.980003,98.269997,98.370003,-3.51,110.990997,111.667999,107.884003,107.910004,-2.776
29/03/2020,98.309998,100.849998,98.290001,100.580002,2.31,107.910004,108.711998,107.028999,108.400002,0.454
