date,Open,High,Low,Close,Return (%),Security
09/04/2013,82.489998,82.830002,82.050003,82.309998,-0.22,DXY
16/04/2013,81.959999,82.779999,81.720001,82.709999,0.91,DXY
23/04/2013,82.309998,83.190002,82.309998,82.480003,0.21,DXY
30/04/2013,82.040001,82.519997,81.330002,82.099998,0.07,DXY
07/05/2013,81.980003,83.440002,81.720001,83.139999,1.4,DXY
14/05/2013,83.239998,84.370003,82.959999,84.279999,1.23,DXY
21/05/2013,84.209999,84.5,83.43,83.699997,-0.61,DXY
28/05/2013,83.669998,84.370003,82.959999,83.379997,-0.35,DXY
04/06/2013,83.309998,83.379997,81.080002,81.690002,-1.98,DXY
11/06/2013,81.599998,82.089996,80.5,80.669998,-1.15,DXY
18/06/2013,80.620003,82.519997,80.5,82.32,2.07,DXY
25/06/2013,82.309998,83.339996,82.239998,83.169998,1.03,DXY
02/07/2013,83.199997,84.529999,82.970001,84.419998,1.45,DXY
09/07/2013,84.489998,84.75,82.279999,82.989998,-1.81,DXY
16/07/2013,82.870003,83.459999,82.339996,82.580002,-0.35,DXY
23/07/2013,82.610001,82.610001,81.550003,81.620003,-1.21,DXY
30/07/2013,81.5,82.489998,81.410004,81.910004,0.5,DXY
06/08/2013,81.75,82.489998,80.870003,81.129997,-0.76,DXY
13/08/2013,81.07,81.940002,81.050003,81.260002,0.23,DXY
20/08/2013,81.139999,81.720001,80.75,81.339996,0.25,DXY
27/08/2013,81.339996,82.260002,81.110001,82.089996,0.91,DXY
03/09/2013,82.019997,82.669998,82.019997,82.150002,0.16,DXY
10/09/2013,81.699997,82.629997,81.360001,81.449997,-0.31,DXY
17/09/2013,81.230003,81.349998,80.059998,80.440002,-0.98,DXY
24/09/2013,80.290001,80.650002,80.110001,80.269997,-0.02,DXY
01/10/2013,80.029999,80.43,79.629997,80.120003,0.11,DXY
08/10/2013,79.68,80.599998,79.68,80.360001,0.85,DXY
15/10/2013,80.129997,80.75,79.480003,79.639999,-0.62,DXY
22/10/2013,79.620003,79.82,79,79.18,-0.56,DXY
29/10/2013,79.150002,80.790001,79.150002,80.730003,1.96,DXY
05/11/2013,80.690002,81.480003,80.379997,81.209999,0.64,DXY
12/11/2013,81.290001,81.459999,80.730003,80.839996,-0.56,DXY
19/11/2013,80.57,81.290001,80.489998,80.709999,0.17,DXY
26/11/2013,80.690002,81.019997,80.480003,80.68,-0.01,DXY
03/12/2013,80.660004,80.989998,80.220001,80.269997,-0.49,DXY
10/12/2013,80.25,80.419998,79.760002,80.209999,-0.05,DXY
17/12/2013,80.190002,80.830002,79.809998,80.580002,0.48,DXY
24/12/2013,80.550003,80.620003,79.690002,80.389999,-0.2,DXY
31/12/2013,80.339996,80.900002,79.93,80.790001,0.56,DXY
07/01/2014,80.870003,81.190002,80.529999,80.660004,-0.26,DXY
14/01/2014,80.580002,81.300003,80.440002,81.260002,0.84,DXY
21/01/2014,81.18,81.389999,80.150002,80.459999,-0.89,DXY
28/01/2014,80.459999,81.32,80.300003,81.269997,1,DXY
04/02/2014,81.25,81.32,80.599998,80.690002,-0.69,DXY
11/02/2014,80.769997,80.830002,80.07,80.129997,-0.8,DXY
18/02/2014,80.169998,80.419998,79.93,80.239998,0.09,DXY
25/02/2014,80.279999,80.580002,79.690002,79.779999,-0.63,DXY
04/03/2014,79.900002,80.269997,79.43,79.720001,-0.23,DXY
11/03/2014,79.690002,79.93,79.269997,79.440002,-0.31,DXY
18/03/2014,79.400002,80.349998,79.279999,80.110001,0.89,DXY
25/03/2014,80.120003,80.290001,79.75,80.18,0.07,DXY
01/04/2014,80.190002,80.599998,79.959999,80.419998,0.29,DXY
08/04/2014,80.440002,80.449997,79.330002,79.449997,-1.25,DXY
15/04/2014,79.620003,79.900002,79.559998,79.830002,0.26,DXY
22/04/2014,79.860001,79.989998,79.660004,79.769997,-0.11,DXY
29/04/2014,79.769997,79.919998,79.410004,79.519997,-0.31,DXY
06/05/2014,79.5,79.919998,78.910004,79.900002,0.5,DXY
13/05/2014,79.860001,80.339996,79.779999,80.040001,0.22,DXY
20/05/2014,80.050003,80.440002,79.879997,80.389999,0.42,DXY
27/05/2014,80.290001,80.580002,80.169998,80.370003,0.1,DXY
03/06/2014,80.400002,81.019997,80.239998,80.410004,0.01,DXY
10/06/2014,80.419998,80.900002,80.300003,80.580002,0.2,DXY
17/06/2014,80.599998,80.709999,80.150002,80.370003,-0.29,DXY
24/06/2014,80.370003,80.43,80.010002,80.040001,-0.41,DXY
