Security ,date,Return 
DXY,02/06/2015,-2.15
DXY,09/06/2015,-0.51
DXY,16/06/2015,-0.51
DXY,23/06/2015,0.49
DXY,30/06/2015,1.59
DXY,07/07/2015,0.58
DXY,14/07/2015,1.21
DXY,21/07/2015,-1.56
DXY,28/07/2015,1.03
DXY,04/08/2015,-0.34
DXY,11/08/2015,-0.35
DXY,18/08/2015,-3.63
DXY,25/08/2015,2.83
DXY,01/09/2015,0.2
DXY,08/09/2015,-0.93
DXY,15/09/2015,0.67
DXY,22/09/2015,0.15
DXY,29/09/2015,0.08
DXY,06/10/2015,-1.32
DXY,13/10/2015,0.13
DXY,20/10/2015,2
DXY,27/10/2015,0.07
DXY,03/11/2015,2.11
DXY,10/11/2015,0.46
DXY,17/11/2015,0.36
DXY,24/11/2015,0.37
DXY,01/12/2015,-1.51
DXY,08/12/2015,-1.07
DXY,15/12/2015,0.88
DXY,22/12/2015,-0.55
DXY,29/12/2015,0.97
DXY,05/01/2016,-0.14
DXY,12/01/2016,0.4
DXY,19/01/2016,0.24
DXY,26/01/2016,-0.36
DXY,02/02/2016,-2.45
DXY,09/02/2016,-0.61
DXY,16/02/2016,1.46
DXY,23/02/2016,0.85
DXY,01/03/2016,-1.16
DXY,08/03/2016,-0.46
DXY,15/03/2016,-1.38
DXY,22/03/2016,0.68
DXY,29/03/2016,-1.49
DXY,05/04/2016,-0.59
DXY,12/04/2016,0.57
DXY,19/04/2016,0.37
DXY,26/04/2016,-2.33
DXY,03/05/2016,1.64
DXY,10/05/2016,0.45
DXY,17/05/2016,0.7
DXY,24/05/2016,0.3
DXY,31/05/2016,-1.7
DXY,07/06/2016,0.5
DXY,14/06/2016,-0.81
DXY,21/06/2016,3.13
DXY,28/06/2016,-1.13
DXY,05/07/2016,1.17
DXY,12/07/2016,-0.01
DXY,19/07/2016,0.76
DXY,26/07/2016,-1.62
DXY,02/08/2016,0.72
DXY,09/08/2016,-0.8
DXY,16/08/2016,-1.16
DXY,23/08/2016,1.12
DXY,30/08/2016,0.21
DXY,06/09/2016,-0.71
DXY,13/09/2016,0.78
DXY,20/09/2016,-0.55
DXY,27/09/2016,0.46
DXY,04/10/2016,1.22
DXY,11/10/2016,1
DXY,18/10/2016,0.8
DXY,25/10/2016,-0.22
DXY,01/11/2016,-0.68
DXY,08/11/2016,2.38
DXY,15/11/2016,0.94
DXY,22/11/2016,0.28
DXY,29/11/2016,-1.17
DXY,06/12/2016,0.82
DXY,13/12/2016,2.16
DXY,20/12/2016,-0.2
DXY,27/12/2016,-0.06
DXY,03/01/2017,-0.91
DXY,10/01/2017,-0.32
DXY,17/01/2017,-1.42
DXY,24/01/2017,0.27
DXY,31/01/2017,-0.52
DXY,07/02/2017,1.05
DXY,14/02/2017,-0.01
DXY,21/02/2017,0.18
DXY,28/02/2017,0.5
DXY,07/03/2017,-0.26
DXY,14/03/2017,-0.96
DXY,21/03/2017,-1.23
DXY,28/03/2017,1.38
