date,US10Y Percent Change
05/09/1994,-0.77888
12/09/1994,2.14658
19/09/1994,1.22416
26/09/1994,1.55872
03/10/1994,0.82032
10/10/1994,1.54199
17/10/1994,-1.23425
24/10/1994,1.51793
31/10/1994,1.23743
07/11/1994,1.65521
14/11/1994,-0.20666
21/11/1994,0.3075
28/11/1994,-1.49525
05/12/1994,0.14608
12/12/1994,-1.14155
19/12/1994,0.17963
26/12/1994,0.21773
02/01/1995,-0.25559
09/01/1995,0.80717
16/01/1995,-1.11845
23/01/1995,-0.25707
30/01/1995,-0.18041
06/02/1995,-1.98812
13/02/1995,-0.26344
20/02/1995,-1.64422
27/02/1995,-1.47029
06/03/1995,-0.46334
13/03/1995,0
20/03/1995,-2.87514
27/03/1995,0.70482
03/04/1995,0.33595
10/04/1995,-0.78125
17/04/1995,-0.80146
24/04/1995,-0.38271
01/05/1995,0.22766
08/05/1995,-2.78251
15/05/1995,-2.92056
22/05/1995,-0.87244
29/05/1995,-2.12443
05/06/1995,-3.93798
12/06/1995,0.93609
19/06/1995,-1.47106
26/06/1995,-1.00617
03/07/1995,1.47541
10/07/1995,-1.77706
17/07/1995,0.82237
24/07/1995,4.73083
31/07/1995,0.56075
07/08/1995,0.52664
14/08/1995,0.5547
21/08/1995,0.49035
28/08/1995,-1.21988
04/09/1995,-2.78635
11/09/1995,-1.4212
18/09/1995,-1.09536
25/09/1995,0.84691
02/10/1995,0.71059
09/10/1995,-2.30115
16/10/1995,-0.9602
23/10/1995,-0.39775
30/10/1995,0.39933
06/11/1995,-1.12695
13/11/1995,0.10057
20/11/1995,-0.36839
27/11/1995,-0.67227
04/12/1995,-2.43655
11/12/1995,-1.21401
18/12/1995,1.1236
25/12/1995,0.0434
01/01/1996,-2.12581
08/01/1996,0
15/01/1996,2.08333
22/01/1996,-3.01346
29/01/1996,1.43266
05/02/1996,-0.35311
12/02/1996,0.17718
19/02/1996,0.19455
26/02/1996,5.52515
04/03/1996,1.07059
11/03/1996,2.0192
18/03/1996,3.6989
25/03/1996,-1.09512
01/04/1996,0.12654
08/04/1996,1.26382
15/04/1996,2.5273
22/04/1996,-0.82167
29/04/1996,0.583
06/05/1996,3.56925
13/05/1996,0.02946
20/05/1996,-2.00236
27/05/1996,-0.05258
03/06/1996,2.03683
10/06/1996,1.17855
17/06/1996,1.57251
24/06/1996,-0.31537
01/07/1996,-1.86943
08/07/1996,1.44343
15/07/1996,-0.06501
22/07/1996,-1.67679
29/07/1996,0.9115
05/08/1996,-2.73893
12/08/1996,-2.2169
19/08/1996,0.85784
26/08/1996,1.27582
02/09/1996,2.69196
09/09/1996,1.29244
16/09/1996,-1.29758
23/09/1996,-0.11686
30/09/1996,-1.90114
07/10/1996,-1.9678
14/10/1996,-0.24331
21/10/1996,-0.42683
28/10/1996,0.39804
04/11/1996,-2.68375
11/11/1996,-1.55907
18/11/1996,-1.53601
25/11/1996,-0.61429
02/12/1996,-0.74008
09/12/1996,1.13888
16/12/1996,2.81918
23/12/1996,0.63032
30/12/1996,-0.87692
06/01/1997,2.80411
13/01/1997,1.26777
20/01/1997,-0.64492
27/01/1997,0.83238
03/02/1997,-0.39382
10/02/1997,-1.85523
17/02/1997,-1.53393
24/02/1997,-0.20456
03/03/1997,3.05897
10/03/1997,0.82619
17/03/1997,1.12291
24/03/1997,1.05042
31/03/1997,1.61123
07/04/1997,0.63573
14/04/1997,0.75516
21/04/1997,-0.98011
28/04/1997,0.49491
05/05/1997,-2.8679
12/05/1997,-0.17894
19/05/1997,0
26/05/1997,0.61249
02/06/1997,-0.01485
09/06/1997,-2.1978
16/06/1997,-1.488
23/06/1997,-1.35635
30/06/1997,1.0625
07/07/1997,-1.63111
14/07/1997,-1.7053
21/07/1997,-0.35177
28/07/1997,-1.18742
04/08/1997,-0.58461
11/08/1997,2.64619
18/08/1997,0.25461
25/08/1997,0.06349
01/09/1997,0.7297
08/09/1997,-0.25197
15/09/1997,0
22/09/1997,-3.78907
29/09/1997,-0.06564
06/10/1997,-1.01806
13/10/1997,0.6138
20/10/1997,0.84089
27/10/1997,-1.17724
03/11/1997,-2.44871
10/11/1997,0.44098
17/11/1997,-0.9203
24/11/1997,-0.50277
01/12/1997,0.33402
08/12/1997,0.41827
15/12/1997,-0.74804
22/12/1997,-1.40459
29/12/1997,-0.10424
05/01/1998,-1.13043
12/01/1998,-3.88742
19/01/1998,0.10981
26/01/1998,2.3766
02/02/1998,0.25
09/02/1998,-0.17813
16/02/1998,-1.05282
23/02/1998,-0.59513
02/03/1998,2.72134
09/03/1998,1.41293
16/03/1998,-2.54267
23/03/1998,-0.42888
30/03/1998,1.57933
06/04/1998,-1.66078
13/04/1998,0.43119
20/04/1998,0.39356
27/04/1998,1.63934
04/05/1998,0.38569
11/05/1998,-0.31436
18/05/1998,-0.73581
25/05/1998,-0.503
01/06/1998,-1.30377
08/06/1998,0.21567
15/06/1998,-1.901
22/06/1998,0.25594
29/06/1998,-0.43764
06/07/1998,-0.68681
13/07/1998,0.10143
20/07/1998,1.17907
27/07/1998,-0.6555
03/08/1998,0.73314
10/08/1998,-1.34643
17/08/1998,-0.36887
24/08/1998,-0.66642
31/08/1998,-3.9508
07/09/1998,-2.01785
