date,Open,High,Low,Close,Percentage Return
30/05/1995,81.43,83.580002,81.230003,82.379997,1.58
06/06/1995,82.419998,82.970001,81.879997,82.290001,-0.11
13/06/1995,82.099998,82.68,81.779999,82.169998,-0.15
20/06/1995,82.059998,82.120003,81.349998,81.709999,-0.56
27/06/1995,81.739998,82.559998,81.300003,81.57,-0.17
04/07/1995,81.360001,82.339996,81.260002,81.889999,0.39
11/07/1995,82,82.800003,81.669998,82.160004,0.33
18/07/1995,82.290001,82.349998,81.220001,81.639999,-0.63
25/07/1995,81.690002,82.029999,81.230003,81.57,-0.09
01/08/1995,81.669998,82.599998,81.029999,82.559998,1.21
08/08/1995,82.550003,84.459999,82.519997,84.019997,1.77
15/08/1995,84,86.559998,83.919998,85.980003,2.33
22/08/1995,86.029999,86.629997,85.190002,85.510002,-0.55
29/08/1995,85.589996,86.339996,85.169998,85.57,0.07
05/09/1995,85.580002,86.57,85.389999,85.989998,0.49
12/09/1995,86.089996,87.470001,85.919998,86.610001,0.72
19/09/1995,86.769997,87.110001,83.5,84.550003,-2.38
26/09/1995,84.510002,84.970001,83.529999,84.290001,-0.31
03/10/1995,84.25,84.900002,83.730003,83.980003,-0.37
10/10/1995,83.919998,84.580002,83.889999,84.169998,0.23
17/10/1995,84.230003,84.529999,82.989998,83.199997,-1.15
24/10/1995,83.300003,84.099998,83.110001,83.830002,0.76
31/10/1995,83.720001,84.449997,83.5,84.050003,0.26
07/11/1995,83.970001,84.309998,83.339996,84.160004,0.13
14/11/1995,84.089996,84.360001,83.400002,83.610001,-0.65
21/11/1995,83.629997,84.660004,83.410004,84.540001,1.11
28/11/1995,84.580002,85.419998,84.290001,84.970001,0.51
05/12/1995,85.010002,85.529999,84.5,85.209999,0.28
12/12/1995,85.199997,85.629997,84.580002,84.629997,-0.68
19/12/1995,84.639999,85.169998,84.540001,84.699997,0.08
26/12/1995,84.760002,84.949997,84.339996,84.760002,0.07
02/01/1996,84.779999,85.800003,84.480003,85.040001,0.33
09/01/1996,85.040001,85.379997,84.739998,85.309998,0.32
16/01/1996,85.489998,86.980003,85.419998,86.730003,1.66
23/01/1996,86.669998,87.720001,86.559998,87.410004,0.78
30/01/1996,87.309998,87.690002,86.07,86.230003,-1.35
06/02/1996,86.279999,87.010002,86.209999,86.779999,0.64
13/02/1996,86.779999,86.849998,85.419998,85.510002,-1.46
20/02/1996,85.550003,86.199997,85.239998,85.43,-0.09
27/02/1996,85.559998,86.639999,85.32,86.440002,1.18
05/03/1996,86.43,87.120003,86.209999,86.620003,0.21
12/03/1996,86.610001,86.830002,86.080002,86.300003,-0.37
19/03/1996,86.349998,86.699997,86.120003,86.449997,0.17
26/03/1996,86.440002,86.93,86.099998,86.709999,0.30
02/04/1996,86.709999,86.760002,86.269997,86.550003,-0.18
09/04/1996,86.639999,87.940002,86.57,87.900002,1.56
16/04/1996,87.790001,87.889999,87.010002,87.639999,-0.30
23/04/1996,87.639999,88.290001,87.339996,87.82,0.21
30/04/1996,87.860001,88.440002,87.610001,87.809998,-0.01
07/05/1996,87.790001,88.129997,87.370003,88.029999,0.25
14/05/1996,88.019997,88.459999,87.879997,88.339996,0.35
21/05/1996,88.32,88.860001,88.209999,88.830002,0.55
28/05/1996,88.720001,89.040001,87.559998,87.959999,-0.98
04/06/1996,87.93,88.529999,87.879997,88.400002,0.50
11/06/1996,88.400002,88.559998,87.639999,87.839996,-0.63
18/06/1996,87.889999,88.379997,87.349998,88.089996,0.28
25/06/1996,88.089996,88.209999,87.57,87.779999,-0.35
02/07/1996,87.839996,88.32,87.650002,88.089996,0.35
09/07/1996,88.150002,88.190002,87.779999,87.809998,-0.32
16/07/1996,87.709999,87.830002,85.949997,86.309998,-1.71
23/07/1996,86.209999,86.699997,85.959999,86.330002,0.02
30/07/1996,86.360001,86.599998,85.629997,86.260002,-0.08
06/08/1996,86.230003,86.730003,86.169998,86.360001,0.12
13/08/1996,86.330002,86.93,86.18,86.660004,0.35
20/08/1996,86.68,86.959999,86.089996,86.199997,-0.53
27/08/1996,86.230003,86.669998,85.989998,86.480003,0.32
03/09/1996,86.650002,87.080002,86.32,87,0.60
10/09/1996,87.010002,87.860001,86.989998,87.510002,0.59
17/09/1996,87.5,87.779999,87.160004,87.43,-0.09
24/09/1996,87.43,88.120003,87.050003,87.940002,0.58
01/10/1996,87.879997,88.220001,87.739998,87.970001,0.03
08/10/1996,88,88.059998,87.760002,87.870003,-0.11
15/10/1996,87.889999,88.529999,87.870003,88.129997,0.30
22/10/1996,88.120003,88.150002,87.410004,87.620003,-0.58
29/10/1996,87.660004,87.720001,86.93,87.07,-0.63
05/11/1996,87.089996,87.669998,86.169998,86.290001,-0.90
12/11/1996,86.120003,86.849998,86.080002,86.459999,0.20
19/11/1996,86.419998,87.309998,86.040001,87.260002,0.93
